,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat
0,-15,0,0,-1,5,0,-3,2,True
1,-5,-11,-6,-3,-3,-2,6,1,True
2,8,2,0,-6,-7,-6,-7,-14,True
3,-5,-2,0,-5,-11,-6,-4,3,True
4,-8,-6,3,1,3,1,-5,-19,True
5,7,4,-1,-4,-5,-6,-4,5,True
6,20,14,0,-3,-1,-2,-3,-3,True
7,-30,-30,-11,2,5,0,5,-1,True
8,1,13,-6,-2,2,-1,-4,12,True
9,-14,-17,-11,-5,1,-2,0,3,True
10,21,-10,-7,-3,-6,0,-4,13,True
11,-6,8,-3,-3,1,-2,-2,-7,True
12,-18,-11,-2,-3,-1,-3,-7,-9,True
13,1,14,18,6,5,2,4,11,True
14,-15,-5,-4,-3,-5,2,1,-1,True
15,-2,-15,-6,-3,-3,-3,-3,-8,True
16,4,0,-4,-2,-2,-1,1,4,True
17,14,11,11,2,0,0,3,-13,True
18,-26,-17,-3,-2,6,-1,-3,-4,True
19,-25,-26,-7,0,6,4,3,-3,True
20,21,20,2,-3,0,12,7,-9,True
21,-8,-1,2,3,-5,-10,-8,-6,True
22,-10,-41,-4,-2,-4,-3,-16,3,True
23,25,20,3,-6,-11,-2,1,17,True
24,3,2,0,-1,2,5,6,14,True
25,-22,1,1,3,17,3,-1,-6,True
26,10,1,1,2,-3,-5,-3,-1,True
27,-8,-2,-3,-2,-11,-2,-1,-4,True
28,7,3,1,1,-4,1,4,9,True
29,-1,-2,-1,-3,4,1,-2,-14,True
30,-5,6,10,9,-3,-1,2,-1,True
31,0,4,5,1,4,4,17,10,True
32,-3,-1,-5,-5,-2,-6,-5,-3,True
33,1,-10,-7,-1,-8,-6,1,1,True
34,6,-13,-4,-3,-3,-4,1,5,True
35,1,14,7,2,10,5,-13,-10,True
36,-1,0,-8,-6,0,-3,-5,9,True
37,3,2,2,-1,-11,-8,-2,3,True
38,1,4,-3,1,0,-1,1,-9,True
39,-15,-4,-10,-6,-10,-6,-1,3,True
40,-2,4,-6,-3,-5,-4,-8,-23,True
41,21,4,-3,5,13,3,3,5,True
42,-1,-3,-7,-4,-2,0,5,-2,True
43,3,2,-1,-1,-8,-2,-1,-7,True
44,10,-2,2,6,4,5,-2,-3,True
45,-11,-6,5,1,-1,4,-1,8,True
46,-9,2,3,-4,7,-1,2,21,True
47,-11,-1,-1,-2,-1,13,8,6,True
48,19,13,1,1,-1,0,12,9,True
49,-1,-7,-5,-6,4,6,-11,-10,True
50,27,4,4,7,7,-1,-3,-23,True
51,-18,-20,0,-1,3,-5,6,0,True
52,1,-3,-8,-4,-2,-8,-14,-7,True
53,-15,8,7,-3,-4,-6,-6,0,True
54,15,11,1,3,21,3,3,6,True
55,-2,-8,-5,11,1,-4,-7,-4,True
56,-25,2,1,2,4,-4,4,-11,True
57,42,0,-4,-6,-5,-4,1,0,True
58,3,-4,-3,-6,-13,-5,-14,-16,True
59,-21,-17,-6,-1,0,-2,2,-5,True
60,0,-3,-1,1,0,2,1,8,True
61,13,14,5,-3,-2,-5,-3,0,True
62,-3,-5,0,-6,-14,0,-13,12,True
63,9,14,-1,-5,-13,-6,4,17,True
