,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat
0,-4,-13,-1,-3,-1,-3,-4,2,False
1,-7,-14,1,2,-2,-3,-10,1,False
2,-1,2,1,0,0,-6,-14,-2,False
3,-17,-33,-3,0,-1,2,8,-2,False
4,-7,0,-2,0,0,1,11,-1,False
5,6,10,3,0,0,-2,-8,1,False
6,-9,-11,-3,-2,0,4,12,-7,False
7,-4,-12,-3,-1,0,2,-1,-9,False
8,4,4,-1,-1,0,1,4,-1,False
9,2,12,0,0,-3,-7,-18,-4,False
10,-4,-6,-3,-1,-1,-1,-6,-3,False
11,-1,4,-1,0,-1,-2,-2,0,False
12,-4,1,2,0,-2,-2,-6,3,False
13,2,5,-1,-1,-1,-1,8,3,False
14,6,0,0,-1,-3,-23,-58,1,False
15,-9,-4,-2,-2,0,-7,-6,-1,False
16,-6,-7,-2,-1,2,11,14,-7,False
17,-12,-31,-3,0,-1,-2,-5,-1,False
18,5,4,1,0,-1,5,14,2,False
19,6,11,0,-2,-1,1,5,-2,False
20,-10,-11,-3,-1,-1,-2,1,-4,False
21,-8,-22,-8,-5,-5,-11,-22,-11,False
22,4,10,1,-1,-1,2,2,-2,False
23,-7,-11,-2,-1,-2,-10,3,-1,False
24,1,5,2,-1,0,2,-10,3,False
25,7,10,-2,-1,0,-7,-16,2,False
26,3,18,1,0,-1,-3,2,4,False
27,-16,-29,-5,-1,-2,3,4,-3,False
28,10,7,2,1,0,2,8,3,False
29,11,12,0,-1,0,7,8,-3,False
30,2,1,-2,0,-1,3,3,5,False
31,-2,-12,-2,-1,-2,-5,-10,1,False
32,-1,3,-3,-1,-1,-1,3,-3,False
33,-19,-15,-4,-1,-1,-3,9,-3,False
34,-3,-3,0,0,0,0,7,2,False
35,8,10,1,1,1,0,3,3,False
36,-15,-23,-3,-1,-2,-1,-4,-6,False
37,4,8,0,-1,1,2,12,4,False
38,3,10,0,1,0,2,16,1,False
39,0,1,-1,-1,1,6,8,0,False
40,-8,0,2,0,1,-1,-6,-4,False
41,-1,2,0,-1,0,0,-2,-4,False
42,0,6,2,-1,0,0,-2,0,False
43,6,2,0,1,-1,3,0,-1,False
44,6,2,0,-1,-2,-6,-17,-1,False
45,4,2,0,-1,-1,-1,5,2,False
46,8,8,-1,0,-3,-14,-29,1,False
47,4,8,0,-1,-1,-2,-6,-1,False
