,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat,Max,Min,Mean,StD,RMS,FFT
970,-3,-3,-4,-1,2,0,-1,5,True,5,-4,-0.625,2.9730936268953445,2.850438562747845,-5.0
971,-24,-11,-9,-5,-5,0,5,2,True,5,-24,-5.875,9.109453488390116,10.350120772242226,-47.0
972,9,9,0,2,9,2,0,6,True,9,0,4.625,4.0686080455816125,5.989574275355469,37.0
973,3,-13,-14,-9,-4,-2,-3,4,True,4,-14,-4.75,6.75594975875762,7.905694150420948,-38.0
974,2,5,11,3,31,7,-2,4,True,31,-2,7.625,10.169105874447089,12.19118534023661,61.0
975,4,13,1,1,15,2,1,2,True,15,1,4.875,5.743008171432708,7.254309064273454,39.0
976,-8,-23,-3,1,8,10,-3,-8,True,10,-23,-3.25,10.38886766825776,10.246950765959598,-26.0
977,5,7,-5,-4,-7,-3,-6,-6,True,7,-7,-2.375,5.343554194407635,5.533985905294664,-19.0
978,-10,-2,-1,-2,-7,-10,-1,-6,True,-1,-10,-4.875,3.8706773124535783,6.072478900745559,-39.0
979,0,-6,-8,-5,-13,-2,-3,-6,True,0,-13,-5.375,3.9977672339873487,6.547900426854397,-43.0
980,1,1,4,2,-4,-4,2,0,True,4,-4,0.25,2.866057521105554,2.692582403567252,2.0
981,4,6,1,-2,0,-1,1,-2,True,6,-2,0.875,2.850438562747845,2.806243040080456,7.0
982,3,-9,0,13,30,6,0,1,True,30,-9,5.5,11.674147261608201,12.227019260637483,44.0
983,-10,8,6,3,4,1,2,8,True,8,-10,2.75,5.775564289066727,6.06217782649107,22.0
984,11,-5,-7,-10,-30,-11,-5,8,True,11,-30,-6.125,12.563410592442073,13.252358280698571,-49.0
985,-7,-1,-2,0,-2,-3,-7,-11,True,0,-11,-4.125,3.7961446607992015,5.44288526426931,-33.0
986,-4,-3,-2,-4,-8,-5,-5,-11,True,-2,-11,-5.25,2.9154759474226504,5.916079783099616,-42.0
987,9,9,-3,-3,-2,-2,-1,-15,True,9,-15,-1.0,7.615773105863909,7.19374728496908,-8.0
988,-6,10,3,-1,-11,-1,-4,-1,True,10,-11,-1.375,6.2091522310675735,5.968668193156661,-11.0
989,-3,-4,-3,3,-3,-4,-3,8,True,8,-4,-1.125,4.323936698360485,4.198213905936666,-9.0
990,-4,-4,-3,-5,0,4,0,-6,True,4,-6,-2.25,3.3273756282434617,3.840572873934304,-18.0
991,-4,-12,-12,-6,-3,3,-2,4,True,4,-12,-4.0,5.976143046671968,6.87386354243376,-32.0
992,6,-3,-2,-7,-12,-3,0,-5,True,6,-12,-3.25,5.230405611149374,5.873670062235365,-26.0
993,-10,-22,-7,-3,1,-2,0,-5,True,1,-22,-6.0,7.406560798180411,9.16515138991168,-48.0
994,3,4,-5,-1,-5,-1,-2,-3,True,4,-5,-1.25,3.3273756282434617,3.3541019662496847,-10.0
995,2,-10,-2,-1,-1,-1,-2,2,True,2,-10,-1.625,3.7392703642746743,3.856812155135378,-13.0
996,-15,2,2,4,-9,-4,1,15,True,15,-15,-0.5,9.023778112773575,8.455767262643882,-4.0
