,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat,Max,Min,Mean,StD,RMS,FFT
0,-2,-2,-3,-1,1,-1,-1,5,False,5,-3,-0.5,2.5071326821120348,2.3979157616563596,-4.0
1,2,0,1,0,-1,0,0,3,False,3,-1,0.625,1.3024701806293193,1.3693063937629153,5.0
2,1,0,1,0,-1,-1,0,3,False,3,-1,0.375,1.3024701806293193,1.2747548783981961,3.0
3,-1,0,-1,-1,1,0,0,2,False,2,-1,0.0,1.0690449676496976,1.0,0.0
4,0,0,-1,0,-1,0,-1,-5,False,0,-5,-1.0,1.6903085094570331,1.8708286933869707,-8.0
5,-1,-2,-1,1,-2,0,0,-6,False,1,-6,-1.375,2.1339098923270936,2.4238399287081647,-11.0
6,-4,-3,-1,-2,-1,-2,-3,-6,False,-1,-6,-2.75,1.6690459207925603,3.1622776601683795,-22.0
7,-2,2,-2,-1,-1,-1,-1,1,False,2,-2,-0.625,1.4078859531733587,1.4577379737113252,-5.0
8,0,0,-1,-1,0,-1,0,4,False,4,-1,0.125,1.6420805617960925,1.541103500742244,1.0
9,1,-1,-1,-2,-1,-1,0,-2,False,1,-2,-0.875,0.9910312089651149,1.2747548783981961,-7.0
10,0,1,0,0,0,0,-1,0,False,1,-1,0.0,0.5345224838248488,0.5,0.0
11,1,-2,-1,0,0,0,-1,2,False,2,-2,-0.125,1.2464234547582247,1.1726039399558574,-1.0
12,2,-3,-1,-1,-1,1,1,-1,False,2,-3,-0.375,1.5979898086569353,1.541103500742244,-3.0
13,-1,0,-1,0,-1,-1,-3,-4,False,0,-4,-1.375,1.4078859531733587,1.9039432764659772,-11.0
14,-1,0,-1,-1,1,0,-1,-6,False,1,-6,-1.125,2.100170061141308,2.2638462845343543,-9.0
15,2,1,2,-1,-1,0,1,3,False,3,-1,0.875,1.4577379737113252,1.620185174601965,7.0
16,-3,-2,-1,-1,-1,-2,-2,-2,False,-1,-3,-1.75,0.7071067811865476,1.8708286933869707,-14.0
17,0,-1,-1,-1,-1,-2,-1,1,False,1,-2,-0.75,0.8864052604279183,1.118033988749895,-6.0
18,-4,2,-1,-2,-2,0,-1,1,False,2,-4,-0.875,1.8850918886280925,1.9685019685029528,-7.0
19,-1,0,-2,-1,-3,-2,-1,0,False,0,-3,-1.25,1.0350983390135313,1.5811388300841898,-10.0
20,1,-2,-3,-3,0,-2,-4,-6,False,1,-6,-2.375,2.1998376563477846,3.142451272494134,-19.0
