,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat,Max,Min,Mean,StD,RMS,FFT
1090,-15,0,0,-1,5,0,-3,2,True,5,-15,-1.5,5.9281411203561225,5.744562646538029,-12.0
1091,-5,-11,-6,-3,-3,-2,6,1,True,6,-11,-2.875,4.9982139667227985,5.488624600025037,-23.0
1092,8,2,0,-6,-7,-6,-7,-14,True,8,-14,-3.75,6.777062153217383,7.365459931328117,-30.0
1093,-5,-2,0,-5,-11,-6,-4,3,True,3,-11,-3.75,4.200340122282616,5.431390245600108,-30.0
1094,-8,-6,3,1,3,1,-5,-19,True,3,-19,-3.75,7.497618669570072,7.952986860293433,-30.0
1095,7,4,-1,-4,-5,-6,-4,5,True,7,-6,-0.5,5.0990195135927845,4.795831523312719,-4.0
1096,20,14,0,-3,-1,-2,-3,-3,True,20,-3,2.75,9.00396737951824,8.860022573334675,22.0
1097,-30,-30,-11,2,5,0,5,-1,True,5,-30,-7.5,14.7648230602334,15.716233645501712,-60.0
1098,1,13,-6,-2,2,-1,-4,12,True,13,-6,1.875,7.039429765866794,6.846531968814577,15.0
1099,-14,-17,-11,-5,1,-2,0,3,True,3,-17,-5.625,7.4821215478728265,8.979142498033985,-45.0
1100,21,-10,-7,-3,-6,0,-4,13,True,21,-10,0.5,10.810048235652921,10.124228365658293,4.0
1101,-6,8,-3,-3,1,-2,-2,-7,True,8,-7,-1.75,4.652188425123938,4.69041575982343,-14.0
1102,-18,-11,-2,-3,-1,-3,-7,-9,True,-1,-18,-6.75,5.775564289066727,8.645808232895291,-54.0
1103,1,14,18,6,5,2,4,11,True,18,1,7.625,6.06953752062591,9.506576670915772,61.0
1104,-15,-5,-4,-3,-5,2,1,-1,True,2,-15,-3.75,5.257647491307984,6.18465843842649,-30.0
1105,-2,-15,-6,-3,-3,-3,-3,-8,True,-2,-15,-5.375,4.373213921133975,6.754628043053148,-43.0
