,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat,Max,Min,Mean,StD,RMS,FFT
0,-4,-13,-1,-3,-1,-3,-4,2,False,2,-13,-3.375,4.373213921133975,5.303300858899107,-27.0
1,-7,-14,1,2,-2,-3,-10,1,False,2,-14,-4.0,5.80640040940045,6.745368781616021,-32.0
2,-1,2,1,0,0,-6,-14,-2,False,2,-14,-2.5,5.237229365663817,5.5,-20.0
3,-17,-33,-3,0,-1,2,8,-2,False,8,-33,-5.75,13.068500843085035,13.509256086106296,-46.0
4,-7,0,-2,0,0,1,11,-1,False,11,-7,0.25,5.007137762377681,4.69041575982343,2.0
5,6,10,3,0,0,-2,-8,1,False,10,-8,1.25,5.365231988061121,5.1720402163943,10.0
6,-9,-11,-3,-2,0,4,12,-7,False,12,-11,-2.0,7.483314773547883,7.280109889280518,-16.0
7,-4,-12,-3,-1,0,2,-1,-9,False,2,-12,-3.5,4.7509397566616824,5.656854249492381,-28.0
8,4,4,-1,-1,0,1,4,-1,False,4,-1,1.25,2.3754698783308412,2.5495097567963922,10.0
9,2,12,0,0,-3,-7,-18,-4,False,12,-18,-2.25,8.49789889998026,8.261355820929152,-18.0
10,-4,-6,-3,-1,-1,-1,-6,-3,False,-1,-6,-3.125,2.100170061141308,3.69120576505835,-25.0
11,-1,4,-1,0,-1,-2,-2,0,False,4,-2,-0.375,1.922609833384967,1.8371173070873836,-3.0
12,-4,1,2,0,-2,-2,-6,3,False,3,-6,-1.0,3.070597894314954,3.0413812651491097,-8.0
13,2,5,-1,-1,-1,-1,8,3,False,8,-1,1.75,3.4121631178560534,3.640054944640259,14.0
14,6,0,0,-1,-3,-23,-58,1,False,6,-58,-9.75,21.31230362289083,22.192341021172147,-78.0
15,-9,-4,-2,-2,0,-7,-6,-1,False,0,-9,-3.875,3.181980515339464,4.886205071423016,-31.0
16,-6,-7,-2,-1,2,11,14,-7,False,14,-7,0.5,8.088792952509753,7.582875444051551,4.0
17,-12,-31,-3,0,-1,-2,-5,-1,False,0,-31,-6.875,10.46678419709566,11.963486114005399,-55.0
18,5,4,1,0,-1,5,14,2,False,14,-1,3.75,4.713203338949605,5.787918451395113,30.0
19,6,11,0,-2,-1,1,5,-2,False,11,-2,2.25,4.652188425123938,4.898979485566356,18.0
20,-10,-11,-3,-1,-1,-2,1,-4,False,1,-11,-3.875,4.356850107261306,5.623610939600996,-31.0
21,-8,-22,-8,-5,-5,-11,-22,-11,False,-5,-22,-11.5,6.866065623255952,13.171939872319491,-92.0
22,4,10,1,-1,-1,2,2,-2,False,10,-2,1.875,3.833592123769634,4.046603514059662,15.0
23,-7,-11,-2,-1,-2,-10,3,-1,False,3,-11,-3.875,4.911720676097125,6.010407640085654,-31.0
24,1,5,2,-1,0,2,-10,3,False,5,-10,0.25,4.527692569068709,4.242640687119285,2.0
25,7,10,-2,-1,0,-7,-16,2,False,10,-16,-0.875,8.078852464481397,7.607562027351469,-7.0
26,3,18,1,0,-1,-3,2,4,False,18,-3,3.0,6.458659745975609,6.745368781616021,24.0
27,-16,-29,-5,-1,-2,3,4,-3,False,4,-29,-6.125,11.089731415013748,12.046783803156758,-49.0
28,10,7,2,1,0,2,8,3,False,10,0,4.125,3.6815175442433286,5.373546315051169,33.0
29,11,12,0,-1,0,7,8,-3,False,12,-3,4.25,5.897941529526576,6.96419413859206,34.0
30,2,1,-2,0,-1,3,3,5,False,5,-2,1.375,2.326094212561969,2.57390753524675,11.0
31,-2,-12,-2,-1,-2,-5,-10,1,False,1,-12,-4.125,4.580626906564522,5.947688626685159,-33.0
32,-1,3,-3,-1,-1,-1,3,-3,False,3,-3,-0.5,2.3299294900428698,2.23606797749979,-4.0
33,-19,-15,-4,-1,-1,-3,9,-3,False,9,-19,-4.625,8.716773649530131,9.374166629626338,-37.0
