,Max,Min,Mean,StD,RMS,FFT
0,5.5,-12.75,-2.96875,5.47593934064473,6.007509355872823,-23.75
1,8.75,-14.5,-2.25,9.091357155728623,9.331268650610635,-18.0
2,11.25,-10.0,-1.25,7.49594699362912,7.660079648082571,-10.0
3,4.25,-11.75,-2.0625,5.368990805533649,7.772917846322675,-16.5
4,7.5,-17.25,-2.1875,8.606299054223154,9.055164419965593,-17.5
5,13.0,-17.75,-0.40625,10.676031385116248,11.95503292681174,-3.25
6,10.0,-9.75,-0.125,5.930977199541179,6.41464978322972,-1.0
7,10.0,-5.75,2.0625,5.087488504344462,5.831077096351924,16.5
8,5.0,-10.5,-1.8125,5.427368887813824,6.1537753358913125,-14.5
9,4.75,-10.75,-2.53125,5.018415513901681,5.546471225839802,-20.25
10,8.25,-10.25,-0.78125,5.611035196885084,6.618309349824022,-6.25
11,13.0,-8.5,1.59375,6.749646257871562,6.6177835923523745,12.75
12,14.5,-13.75,0.34375,9.281030144777233,9.962542370583032,2.75
13,10.25,-9.0,-0.59375,6.312960184334259,7.717015896957966,-4.75
14,12.75,-17.0,-3.46875,10.225034577899462,11.17973176827434,-27.75
15,12.75,-8.75,0.53125,7.3476616685802085,7.2853556875325935,4.25
16,10.75,-15.0,-1.46875,8.28633146558327,8.701367001469505,-11.75
17,9.5,-8.75,-0.59375,6.583696126687055,6.878603409856125,-4.75
18,8.25,-14.5,-1.6875,7.319655311447927,9.101419510953939,-13.5
19,12.25,-17.25,-0.90625,9.68368243505998,10.674579714424809,-7.25
20,14.0,-6.0,2.65625,6.328081021995622,7.303010890446695,21.25
21,10.75,-11.0,-2.15625,7.043506732811115,7.419439025431851,-17.25
22,8.75,-5.5,0.15625,4.699016998408093,4.551790566732993,1.25
23,6.5,-14.0,-2.21875,6.565374017507371,6.8545108853690335,-17.75
24,7.0,-9.75,-0.8125,5.465152725629476,5.563486603321536,-6.5
25,8.25,-16.25,-2.4375,7.52197042237786,7.744645097747883,-19.5
26,17.0,-10.0,2.375,8.601561844425259,8.706121601669029,19.0
27,9.5,-13.75,-2.125,7.139429879999866,7.909531120974345,-17.0
28,4.75,-11.25,-0.90625,5.352389158250965,6.564269570921348,-7.25
29,15.0,-6.25,1.84375,7.480022634202019,8.030837550587275,14.75
30,5.25,-10.0,-0.78125,4.965741644526878,5.773463996609995,-6.25
31,9.75,-10.25,-1.4375,6.920611008523958,7.980324577708979,-11.5
32,9.5,-11.25,-1.84375,6.927445983432051,8.28619380839676,-14.75
33,10.5,-10.25,-0.625,7.279208352463106,7.702766954300776,-5.0
34,6.75,-8.75,-0.59375,5.314187765989455,5.471814027153239,-4.75
35,3.75,-8.25,-1.0625,4.360292411033381,5.481727063601454,-8.5
36,7.75,-13.5,-2.40625,7.465075601761882,8.03953409347264,-19.25
37,10.75,-10.5,-1.15625,6.989495585893622,7.004206868112242,-9.25
38,11.25,-13.25,-1.4375,7.466732000327352,8.347762201510555,-11.5
39,10.5,-14.75,-0.875,8.211191244403203,7.817888102919445,-7.0
40,8.25,-10.25,-1.0625,5.944772662784182,7.1697715012657515,-8.5
41,3.0,-9.75,-2.8125,3.905872669302048,5.148504063030783,-22.5
42,10.25,-8.5,-0.03125,6.090973452225926,7.8915380078493635,-0.25
43,13.5,-5.75,2.34375,6.515538861097159,6.768283204486717,18.75
44,8.5,-10.0,-0.78125,6.07916326788428,6.378230842079994,-6.25
45,23.0,-15.25,-0.46875,11.636249760410728,11.1675078128558,-3.75
46,8.0,-19.0,-4.0625,9.651906984208397,10.653136723788906,-32.5
47,13.25,-10.75,0.03125,7.4345399003816635,6.9604027484438715,0.25
48,9.25,-10.25,-1.15625,7.015794227146479,7.434789767382655,-9.25
49,29.5,-13.5,3.09375,13.47100417499557,15.256022030979345,24.75
50,4.5,-11.75,-2.46875,5.387188966352301,7.1171671691640315,-19.75
51,9.0,-21.5,-4.3125,9.8339211584704,10.286198919754803,-34.5
52,19.75,-9.25,1.6875,9.416279809379965,9.734408511307645,13.5
53,17.0,-12.0,1.3125,9.198985139175619,9.047275522120811,10.5
54,7.5,-26.75,-4.625,11.245954566727123,12.59334525304584,-37.0
55,13.5,-12.0,-1.46875,7.934955991070642,7.742116672812301,-11.75
56,12.0,-9.25,-0.03125,6.850896922674182,8.272635619844731,-0.25
57,9.25,-7.75,1.03125,5.814314394644317,5.880492615995112,8.25
58,11.25,-17.5,-2.78125,9.63612586549165,10.25892521094569,-22.25
59,9.0,-10.75,-0.46875,6.49548942463597,7.276165913957704,-3.75
60,7.25,-9.75,-0.75,5.804993444174103,6.95019363996165,-6.0
61,4.0,-8.75,-2.125,3.9842749719409936,4.934330543249271,-17.0
62,4.0,-6.25,-1.78125,3.4467464356231536,4.143836263814906,-14.25
63,5.5,-6.25,-0.84375,3.950788206520643,4.791959518406927,-6.75
64,4.0,-6.5,-0.84375,3.3263846143232643,3.67057324398358,-6.75
65,7.75,-6.75,0.25,4.571439888306878,4.349441673503352,2.0
66,3.5,-6.25,-1.5625,3.263521508205315,3.9508594953465526,-12.5
67,4.5,-10.5,-1.46875,4.620173180698236,4.682727198321951,-11.75
68,3.0,-4.5,-0.65625,2.3502543226131074,2.3333327189471564,-5.25
